Auftragsnr;Material;Bezeichnung;Arbeitsgang;AG_Bezeichnung;Arbeitsplatz;Planstart;Planende;Iststart;Istende;Sollmenge;Istmenge;Ausschuss;Status
FA-2025-0100;MAT-3001;Gehaeuse Typ A;0010;Drehen;CNC-01;2025-01-06;2025-01-07;2025-01-06;2025-01-07;100;98;2;Abgeschlossen
FA-2025-0100;MAT-3001;Gehaeuse Typ A;0020;Fraesen;FRAES-01;2025-01-07;2025-01-08;2025-01-07;2025-01-08;100;97;1;Abgeschlossen
FA-2025-0100;MAT-3001;Gehaeuse Typ A;0030;Qualitaetspruefung;QUAL-01;2025-01-08;2025-01-09;2025-01-08;2025-01-09;100;97;0;Abgeschlossen
FA-2025-0101;MAT-3002;Welle 50mm;0010;Drehen;CNC-02;2025-01-08;2025-01-09;2025-01-08;2025-01-09;200;200;0;Abgeschlossen
FA-2025-0101;MAT-3002;Welle 50mm;0020;Schleifen;SCHLEIF-01;2025-01-09;2025-01-10;2025-01-09;2025-01-11;200;198;2;Abgeschlossen
FA-2025-0102;MAT-3005;Zahnrad M2;0010;Fraesen;FRAES-02;2025-01-10;2025-01-11;2025-01-10;2025-01-11;400;395;5;Abgeschlossen
FA-2025-0102;MAT-3005;Zahnrad M2;0020;Haerten;HAERT-01;2025-01-11;2025-01-12;2025-01-11;2025-01-13;400;395;0;Abgeschlossen
FA-2025-0102;MAT-3005;Zahnrad M2;0030;Schleifen;SCHLEIF-01;2025-01-13;2025-01-14;2025-01-13;2025-01-14;400;393;2;Abgeschlossen
FA-2025-0103;MAT-3006;Bolzen 8x40;0010;Drehen;CNC-03;2025-01-13;2025-01-13;2025-01-13;2025-01-13;2000;2000;0;Abgeschlossen
FA-2025-0104;MAT-3003;Flansch DN100;0010;Drehen;CNC-01;2025-01-14;2025-01-15;2025-01-14;2025-01-15;50;49;1;Abgeschlossen
FA-2025-0104;MAT-3003;Flansch DN100;0020;Bohren;BOHR-01;2025-01-15;2025-01-16;2025-01-15;2025-01-16;50;49;0;Abgeschlossen
FA-2025-0104;MAT-3003;Flansch DN100;0030;Montage;MONT-01;2025-01-16;2025-01-17;2025-01-16;2025-01-17;50;49;0;Abgeschlossen
FA-2025-0105;MAT-3004;Deckel Variante B;0010;Fraesen;FRAES-01;2025-01-15;2025-01-16;2025-01-15;2025-01-16;250;248;2;Abgeschlossen
FA-2025-0105;MAT-3004;Deckel Variante B;0020;Entgraten;ENTGR-01;2025-01-16;2025-01-17;2025-01-16;2025-01-17;250;248;0;Abgeschlossen
FA-2025-0105;MAT-3004;Deckel Variante B;0030;Lackieren;LACK-01;2025-01-17;2025-01-18;2025-01-17;2025-01-19;250;246;2;Abgeschlossen
FA-2025-0106;MAT-3008;Konsole Stahl;0010;Schneiden;SCHNEID-01;2025-01-17;2025-01-17;2025-01-17;2025-01-17;100;100;0;Abgeschlossen
FA-2025-0106;MAT-3008;Konsole Stahl;0020;Schweissen;SCHWEISS-01;2025-01-18;2025-01-19;2025-01-18;2025-01-20;100;99;1;Abgeschlossen
FA-2025-0106;MAT-3008;Konsole Stahl;0030;Lackieren;LACK-01;2025-01-20;2025-01-21;2025-01-20;2025-01-21;100;99;0;Abgeschlossen
FA-2025-0107;MAT-3009;Adapter DN50;0010;Drehen;CNC-01;2025-01-20;2025-01-21;2025-01-20;2025-01-21;80;80;0;Abgeschlossen
FA-2025-0107;MAT-3009;Adapter DN50;0020;Qualitaetspruefung;QUAL-01;2025-01-21;2025-01-22;2025-01-21;2025-01-22;80;78;2;Abgeschlossen
FA-2025-0108;MAT-3010;Distanzhuelse;0010;Drehen;CNC-03;2025-01-22;2025-01-22;2025-01-22;2025-01-22;500;500;0;Abgeschlossen
FA-2025-0108;MAT-3010;Distanzhuelse;0020;Entgraten;ENTGR-01;2025-01-23;2025-01-23;2025-01-23;2025-01-23;500;498;2;Abgeschlossen
FA-2025-0109;MAT-3011;Grundplatte 200x300;0010;Fraesen;FRAES-01;2025-01-23;2025-01-24;2025-01-23;2025-01-24;30;30;0;Abgeschlossen
FA-2025-0109;MAT-3011;Grundplatte 200x300;0020;Bohren;BOHR-01;2025-01-24;2025-01-25;2025-01-24;2025-01-25;30;30;0;Abgeschlossen
FA-2025-0109;MAT-3011;Grundplatte 200x300;0030;Qualitaetspruefung;QUAL-01;2025-01-25;2025-01-26;2025-01-25;2025-01-26;30;29;1;Abgeschlossen
FA-2025-0110;MAT-3012;Spannring;0010;Drehen;CNC-02;2025-01-27;2025-01-28;2025-01-27;2025-01-28;300;298;2;Abgeschlossen
FA-2025-0110;MAT-3012;Spannring;0020;Haerten;HAERT-01;2025-01-28;2025-01-29;2025-01-28;2025-01-30;300;297;1;Abgeschlossen
FA-2025-0111;MAT-3007;Lagerdeckel;0010;Drehen;CNC-02;2025-01-29;2025-01-30;2025-01-29;2025-01-30;150;150;0;Abgeschlossen
FA-2025-0111;MAT-3007;Lagerdeckel;0020;Bohren;BOHR-01;2025-01-30;2025-01-31;2025-01-30;2025-01-31;150;148;2;Abgeschlossen
FA-2025-0111;MAT-3007;Lagerdeckel;0030;Montage;MONT-02;2025-01-31;2025-02-01;2025-01-31;2025-02-01;150;148;0;Abgeschlossen
FA-2025-0098;MAT-3013;Passfeder 8x7;0010;Fraesen;FRAES-02;2025-01-06;2025-01-06;2025-01-06;2025-01-06;800;800;0;Abgeschlossen
FA-2025-0098;MAT-3013;Passfeder 8x7;0020;Qualitaetspruefung;QUAL-01;2025-01-07;2025-01-07;2025-01-07;2025-01-07;800;795;5;Abgeschlossen
FA-2025-0099;MAT-3014;Buchse 25x30;0010;Drehen;CNC-01;2025-01-08;2025-01-09;2025-01-08;2025-01-09;350;348;2;Abgeschlossen
FA-2025-0099;MAT-3014;Buchse 25x30;0020;Schleifen;SCHLEIF-01;2025-01-09;2025-01-10;2025-01-10;2025-01-11;350;346;2;Abgeschlossen
FA-2025-0099;MAT-3014;Buchse 25x30;0030;Qualitaetspruefung;QUAL-01;2025-01-11;2025-01-12;2025-01-11;2025-01-12;350;344;2;Abgeschlossen
