Auftragsnr;Material;Bezeichnung;Arbeitsgang;AG_Bezeichnung;Arbeitsplatz;Planstart;Planende;Sollmenge;Rueckmeldung;Status
FA-2025-0112;MAT-3001;Gehaeuse Typ A;0010;Drehen;CNC-01;2025-02-10;2025-02-11;200;0;Freigegeben
FA-2025-0112;MAT-3001;Gehaeuse Typ A;0020;Fraesen;FRAES-01;2025-02-11;2025-02-12;200;0;Wartend
FA-2025-0112;MAT-3001;Gehaeuse Typ A;0030;Qualitaetspruefung;QUAL-01;2025-02-12;2025-02-13;200;0;Wartend
FA-2025-0113;MAT-3002;Welle 50mm;0010;Drehen;CNC-02;2025-02-10;2025-02-11;150;80;In Bearbeitung
FA-2025-0113;MAT-3002;Welle 50mm;0020;Schleifen;SCHLEIF-01;2025-02-11;2025-02-12;150;0;Wartend
FA-2025-0114;MAT-3003;Flansch DN100;0010;Drehen;CNC-01;2025-02-12;2025-02-13;75;0;Freigegeben
FA-2025-0114;MAT-3003;Flansch DN100;0020;Bohren;BOHR-01;2025-02-13;2025-02-14;75;0;Wartend
FA-2025-0114;MAT-3003;Flansch DN100;0030;Montage;MONT-01;2025-02-14;2025-02-15;75;0;Wartend
FA-2025-0115;MAT-3004;Deckel Variante B;0010;Fraesen;FRAES-01;2025-02-11;2025-02-12;300;120;In Bearbeitung
FA-2025-0115;MAT-3004;Deckel Variante B;0020;Entgraten;ENTGR-01;2025-02-12;2025-02-13;300;0;Wartend
FA-2025-0115;MAT-3004;Deckel Variante B;0030;Lackieren;LACK-01;2025-02-13;2025-02-14;300;0;Wartend
FA-2025-0116;MAT-3005;Zahnrad M2;0010;Fraesen;FRAES-02;2025-02-13;2025-02-14;500;0;Freigegeben
FA-2025-0116;MAT-3005;Zahnrad M2;0020;Haerten;HAERT-01;2025-02-14;2025-02-15;500;0;Wartend
FA-2025-0116;MAT-3005;Zahnrad M2;0030;Schleifen;SCHLEIF-01;2025-02-15;2025-02-16;500;0;Wartend
FA-2025-0117;MAT-3006;Bolzen 8x40;0010;Drehen;CNC-03;2025-02-10;2025-02-10;1000;650;In Bearbeitung
FA-2025-0118;MAT-3007;Lagerdeckel;0010;Drehen;CNC-02;2025-02-14;2025-02-15;120;0;Freigegeben
FA-2025-0118;MAT-3007;Lagerdeckel;0020;Bohren;BOHR-01;2025-02-15;2025-02-16;120;0;Wartend
FA-2025-0118;MAT-3007;Lagerdeckel;0030;Montage;MONT-02;2025-02-16;2025-02-17;120;0;Wartend
FA-2025-0119;MAT-3008;Konsole Stahl;0010;Schneiden;SCHNEID-01;2025-02-12;2025-02-12;80;80;In Bearbeitung
FA-2025-0119;MAT-3008;Konsole Stahl;0020;Schweissen;SCHWEISS-01;2025-02-13;2025-02-14;80;0;Wartend
FA-2025-0119;MAT-3008;Konsole Stahl;0030;Lackieren;LACK-01;2025-02-14;2025-02-15;80;0;Wartend
FA-2025-0120;MAT-3009;Adapter DN50;0010;Drehen;CNC-01;2025-02-15;2025-02-16;60;0;Freigegeben
FA-2025-0120;MAT-3009;Adapter DN50;0020;Qualitaetspruefung;QUAL-01;2025-02-16;2025-02-17;60;0;Wartend
FA-2025-0121;MAT-3010;Distanzhuelse;0010;Drehen;CNC-03;2025-02-13;2025-02-13;400;0;Freigegeben
FA-2025-0121;MAT-3010;Distanzhuelse;0020;Entgraten;ENTGR-01;2025-02-14;2025-02-14;400;0;Wartend
FA-2025-0122;MAT-3011;Grundplatte 200x300;0010;Fraesen;FRAES-01;2025-02-14;2025-02-15;40;15;In Bearbeitung
FA-2025-0122;MAT-3011;Grundplatte 200x300;0020;Bohren;BOHR-01;2025-02-15;2025-02-16;40;0;Wartend
FA-2025-0122;MAT-3011;Grundplatte 200x300;0030;Qualitaetspruefung;QUAL-01;2025-02-16;2025-02-17;40;0;Wartend
FA-2025-0123;MAT-3012;Spannring;0010;Drehen;CNC-02;2025-02-15;2025-02-16;250;0;Freigegeben
FA-2025-0123;MAT-3012;Spannring;0020;Haerten;HAERT-01;2025-02-16;2025-02-17;250;0;Wartend
